region,locality,price_usd,area_m2,floor,rooms,expenses,properati_url,lat,lon
Capital Federal,Parque Patricios,59200.0,36.0,,2.0,,http://parque-patricios.properati.com.ar/11pgy_venta_departamentos_parque-patricios_avenida-almafuerte_patio_garage_re-max-express,,
Capital Federal,Barracas,73536.95,42.0,3.0,1.0,,http://barracas.properati.com.ar/npf0_venta_departamentos_barracas_regimiento-de-patricios-av-_200,-34.631591,-58.370191
Capital Federal,Flores,115000.0,64.0,4.0,3.0,,http://flores.properati.com.ar/pa32_venta_departamentos_flores,-34.632364,-58.467568
Capital Federal,Belgrano,306990.45,75.0,,3.0,,http://belgrano.properati.com.ar/12tho_venta_departamentos_belgrano_suite_gimnasio_lavadero_parrilla_piscina_sum_toilette_amenities_soldati-propiedades,,
Capital Federal,Caballito,73000.0,31.0,,1.0,,http://caballito.properati.com.ar/w45u_venta_departamentos_caballito,-34.6173477,-58.4494039
Capital Federal,Palermo,192000.0,83.0,,3.0,2000.0,http://palermo.properati.com.ar/xqh6_venta_departamentos_palermo_lavadero_luminoso_dependencias_garage_placard,-34.5744172,-58.4374328
Capital Federal,San Telmo,90000.0,50.0,,,,http://san-telmo.properati.com.ar/i3zm_venta_departamento_san-telmo,-34.6214295,-58.3756926
Capital Federal,Belgrano,179000.0,78.0,2.0,4.0,,http://belgrano.properati.com.ar/12d09_venta_departamentos_belgrano_balcon_toilette_luminoso_garage_subte-linea-d_belgrano,-34.572199,-58.447411
Capital Federal,Almagro,189500.0,87.0,,4.0,2800.0,http://almagro.properati.com.ar/w1mt_venta_departamentos_almagro,-34.6027891,-58.4250133
Capital Federal,Monserrat,78000.0,32.0,,,600.0,http://monserrat.properati.com.ar/yh5z_venta_departamentos_monserrat_belgrano-av-_1300_balcon_gimnasio_lavadero_parrilla_piscina_sum_garage_integra-real-estate,-34.61335,-58.38465
Capital Federal,Caballito,111810.57,42.0,,1.0,,http://caballito.properati.com.ar/zsva_venta_departamentos_caballito_balcon_nucifora-propiedades_crr,-34.6176481,-58.4619167
Capital Federal,Belgrano,102000.0,37.0,,2.0,,http://belgrano.properati.com.ar/116es_venta_departamentos_belgrano_balcon_hidromasaje_parrilla_piscina_sum_luminoso_amenities_placard_re-max-central,-34.556809,-58.457834
Capital Federal,Balvanera,105000.0,50.0,,3.0,,http://balvanera.properati.com.ar/11tvw_venta_departamentos_balvanera_luminoso_migliorisi-propiedades_cy2,-34.6067737,-58.4097289
Capital Federal,Flores,100000.0,41.0,6.0,2.0,,http://flores.properati.com.ar/10n0n_venta_departamentos_flores_baulera_gimnasio_lavadero_parrilla_piscina_sum_electrogeno_garage_amenities_rcm-propiedades_c67,-34.6286026,-58.4669149
Capital Federal,Boedo,110000.0,40.0,,,,http://boedo.properati.com.ar/10qln_venta_departamentos_boedo_balcon_baulera_luminoso_garage_placard_creativa-propiedades,-34.6212894,-58.420993
Capital Federal,Colegiales,120000.0,38.0,,1.0,,http://colegiales.properati.com.ar/12tcw_venta_departamentos_colegiales_balcon_lavadero_parrilla_terraza_amenities_tovado-propiedades_dk1,-34.5789278,-58.4559767
Capital Federal,Barrio Norte,310000.0,91.0,,2.0,,http://barrio-norte.properati.com.ar/12d07_venta_departamentos_barrio-norte_balcon_lavadero_patio_terraza_luminoso_subte-linea-h_barrio-norte_52w,-34.588505,-58.383029
Capital Federal,Recoleta,149900.0,73.0,,2.0,,http://recoleta.properati.com.ar/xlq6_venta_departamentos_palermo_baulera_jardin_patio_garage,-34.598296,-58.387828
Capital Federal,Villa Devoto,151000.0,90.0,,3.0,,http://villa-devoto.properati.com.ar/11xt5_venta_departamentos_villa-devoto_balcon_parrilla_patio_terraza_toilette_lujoso_garage_placard_aire-acondicionado_devoto,-34.58751,-58.510665
Capital Federal,Belgrano,96000.0,33.0,,,,http://belgrano.properati.com.ar/yiok_venta_departamentos_belgrano_balcon_lavadero_luminoso_lujoso_belforte-propiedades,-34.5711807,-58.4348804
Capital Federal,Saavedra,110000.0,55.0,,3.0,,http://saavedra.properati.com.ar/10453_venta_departamentos_saavedra_baulera_lavadero_luminoso_garage_placard_dic-propiedades_c80,-34.5566182,-58.4793743
Capital Federal,Flores,139000.0,63.0,1.0,3.0,1870.0,http://flores.properati.com.ar/y088_venta_departamentos_flores_san-pedrito-av-_300_suite_lavadero_parrilla_patio_garage_placard_aire-acondicionado_eduardo-bertolotti-propiedades,-34.6352242,-58.4676975
Capital Federal,Colegiales,140000.0,59.0,,3.0,1000.0,http://colegiales.properati.com.ar/12ppg_venta_departamentos_colegiales_virrey-loreto_2900_balcon_lavadero_placard_bg-propiedades,-34.5729942,-58.454319
Capital Federal,Floresta,75000.0,44.0,,1.0,1200.0,http://floresta.properati.com.ar/ye5z_venta_departamentos_floresta_suite_lavadero_parrilla_patio_garage_la-floresta,-34.6037137392,-58.3815808896
Capital Federal,Villa Urquiza,189000.0,70.0,,3.0,,http://villa-urquiza.properati.com.ar/1166e_venta_departamentos_villa-urquiza_balcon_lavadero_parrilla_terraza_toilette_garage_placard_dic-propiedades_c80,-34.5647507,-58.4891059
Capital Federal,Palermo,259000.0,85.0,,4.0,2692.0,http://palermo.properati.com.ar/ygez_venta_departamentos_palermo_balcon_lavadero_luminoso_placard_cabildo-500,-34.5688186,-58.4360816
Capital Federal,Caballito,91200.0,37.0,,1.0,,http://caballito.properati.com.ar/11d6d_venta_departamentos_caballito_luminoso_lujoso_lone-lighthouse_d9p,-34.6063416,-58.4464868
Capital Federal,Palermo,95000.0,32.0,,1.0,,http://palermo.properati.com.ar/12ght_venta_departamentos_palermo_balcon_lavadero_piscina_luminoso_subte-linea-d_imprenta,-34.578139,-58.433336
Capital Federal,Barracas,83336.62,42.0,10.0,1.0,,http://barracas.properati.com.ar/npfc_venta_departamentos_barracas_regimiento-de-patricios-av-_200,-34.631591,-58.370191
